,Rates,Pressures
0,0.0,2514.000000000002
1,25.385717707147645,2462.9938775510227
2,50.25111047209831,2411.987755102043
3,74.59617829485182,2360.9816326530636
4,98.42092117540841,2309.9755102040835
5,121.72533911376775,2258.969387755104
6,144.50943210992995,2207.9632653061244
7,166.77320016389515,2156.957142857145
8,188.5166432756632,2105.9510204081653
9,209.7397614452341,2054.9448979591857
10,230.44255467260808,2003.938775510206
11,250.62502295778498,1952.9326530612261
12,270.2871663007647,1901.9265306122463
13,289.4289847015473,1850.920408163267
14,308.05047816013274,1799.9142857142874
15,326.1516466765212,1748.9081632653078
16,343.7324902507126,1697.902040816328
17,360.7930088827069,1646.8959183673483
18,377.33320257250404,1595.8897959183687
19,393.35307132010405,1544.8836734693894
20,408.85261512550704,1493.8775510204096
21,423.8318339887131,1442.8714285714298
22,438.29072790972185,1391.8653061224502
23,452.22929688853355,1340.8591836734706
24,465.6475409251483,1289.8530612244908
25,478.5454600195657,1238.8469387755113
26,490.9230541717861,1187.8408163265317
27,502.7803233818094,1136.8346938775521
28,514.1172676496357,1085.8285714285723
29,524.9338869752648,1034.8224489795928
30,535.2301813586969,983.8163265306132
31,545.006150799932,932.8102040816334
32,554.26179529897,881.8040816326538
33,562.9971148558107,830.7979591836744
34,571.2121094704545,779.7918367346944
35,578.906779142901,728.7857142857149
36,586.0811238731504,677.7795918367353
37,592.735143661203,626.7734693877555
38,598.8688385070583,575.767346938776
39,604.4822084107166,524.7612244897964
40,609.5752533721776,473.7551020408168
41,614.1479733914416,422.74897959183727
42,618.2003684685087,371.74285714285725
43,621.7324386033786,320.7367346938777
44,624.7441837960515,269.7306122448981
45,627.2356040465271,218.72448979591852
46,629.2066993548056,167.71836734693898
47,630.6574697208873,116.71224489795941
48,631.5879151447717,65.70612244897939
49,631.9980356264589,14.699999999999818
